omm_id,nombre,elev,lat_dec,lon_dec,fecha_desde,fecha_hasta,valor
87470,El Trébol,96.0,-32.192149,-61.711967,2024-03-21,2024-04-20,
87480,Rosario Aero,25.0,-32.918543,-60.781451,2024-03-21,2024-04-20,142.6
87497,Gualeguaychú Aero,21.0,-33.012454,-58.610763,2024-03-21,2024-04-20,184.7
87506,Malargüe Aero,1425.0,-35.48129,-69.58338,2024-03-21,2024-04-20,18.2
87509,San Rafael Aero,748.0,-34.590821,-68.401665,2024-03-21,2024-04-20,71.5
87532,General Pico Aero,145.0,-35.68815,-63.759457,2024-03-21,2024-04-20,94.2
87534,Laboulaye Aero,137.0,-34.127844,-63.367634,2024-03-21,2024-04-20,96.10000000000001
87540,Trenque Lauquen,95.0,-35.969007,-62.726111,2024-03-21,2024-04-20,100.1
87544,Pehuajó Aero,87.0,-35.840703,-61.859783,2024-03-21,2024-04-20,153.3
87548,Junín Aero,81.0,-34.552507,-60.931269,2024-03-21,2024-04-20,238.9
87550,Nueve de Julio,76.0,-35.438985,-60.881913,2024-03-21,2024-04-20,190.0
87553,San Fernando,10.0,-34.455025,-58.584487,2024-03-21,2024-04-20,108.0
87571,El Palomar Aero,12.0,-34.603038,-58.612579,2024-03-21,2024-04-20,77.6
87573,Merlo Aero,36.0,-34.684682,-58.744759,2024-03-21,2024-04-20,100.1
87574,Morón Aero,24.0,-34.671151,-58.638208,2024-03-21,2024-04-20,78.8
87576,Ezeiza Aero,20.0,-34.81856,-58.542289,2024-03-21,2024-04-20,98.2
87582,Aeroparque Buenos Aires,6.0,-34.558909,-58.419823,2024-03-21,2024-04-20,98.4
87585,Buenos Aires,25.0,-34.590222,-58.483968,2024-03-21,2024-04-20,129.7
87593,La Plata Aero,19.0,-34.966141,-57.896083,2024-03-21,2024-04-20,122.9
87596,Punta Indio (BA),22.0,-35.351178,-57.292537,2024-03-21,2024-04-20,128.0
87616,Victorica,312.0,-36.212635,-65.431667,2024-03-21,2024-04-20,
87623,Santa Rosa Aero,191.0,-36.593207,-64.279985,2024-03-21,2024-04-20,157.1
87637,Coronel Suárez Aero,233.0,-37.453338,-61.890716,2024-03-21,2024-04-20,96.8
87686,Barrow INTA,120.0,-38.32,-60.25,2024-03-21,2024-04-20,
87691,Balcarce INTA,130.0,-37.75,-58.3,2024-03-21,2024-04-20,
87741,Hilario Ascasubi INTA,22.0,-39.38,-62.62,2024-03-21,2024-04-20,
83423,Goiânia,748.53,-16.67305554,-49.26388888,2024-03-21,2024-04-20,264.3
9987003,Concordia INTA,48.0,-31.37,-58.12,2024-03-21,2024-04-20,
87641,Azul Aero,147.0,-36.832021,-59.886351,2024-03-21,2024-04-20,107.7
87643,Olavarría Aero,166.0,-36.890581,-60.222799,2024-03-21,2024-04-20,76.6
87645,Tandil Aero,175.0,-37.241166,-59.233233,2024-03-21,2024-04-20,51.8
87648,Dolores Aero,9.0,-36.316945,-57.716865,2024-03-21,2024-04-20,100.8
87649,Benito Juárez Aero,207.0,-37.701292,-59.791059,2024-03-21,2024-04-20,69.0
87663,Villa Gesell Aero,9.0,-37.23532,-57.018754,2024-03-21,2024-04-20,125.5
87679,Pigüé Aero,304.0,-37.6082,-62.386473,2024-03-21,2024-04-20,108.5
87683,Coronel Pringles Aero,247.0,-38.004311,-61.329961,2024-03-21,2024-04-20,
87688,Tres Arroyos,115.0,-38.35947,-60.284537,2024-03-21,2024-04-20,85.9
87692,Mar del Plata Aero,21.0,-37.932096,-57.581453,2024-03-21,2024-04-20,45.9
87715,Neuquén Aero,271.0,-38.952008,-68.136675,2024-03-21,2024-04-20,11.5
